# Exported: 2026-03-30 14:09:17  |  71 rows  |  Edit then: python3 ref_import.py model_reference
model_raw	endpoint	author	model	pru_multiplier
abacus/claude-opus-4-5-20251101	abacus	Anthropic	opus-4.5	1.0
abacus/claude-opus-4-6	abacus	Anthropic	opus-4.6	1.0
abacus/claude-sonnet-4-5-20250929	abacus	Anthropic	sonnet-4.5	1.0
abacus/deepseek-ai/DeepSeek-V3.2	abacus	DeepSeek	DeepSeek-V3.2	1.0
abacus/gpt-5	abacus	OpenAI	gpt-5	1.0
abacus/grok-4-fast-non-reasoning	abacus	xAI	grok-4-fast	1.0
anthropic/claude-opus-4-5	anthropic	Anthropic	opus-4.5	1.0
anthropic/claude-opus-4-6	anthropic	Anthropic	opus-4.6	1.0
anthropic/claude-sonnet-4-5	anthropic	Anthropic	sonnet-4.5	1.0
anthropic/claude-sonnet-4-6	anthropic	Anthropic	sonnet-4.6	1.0
bailian/MiniMax-M2.5	bailian	Alibaba	MiniMax-M2.5	1.0
bailian/glm-4.7	bailian	Alibaba	glm-4.7	1.0
bailian/glm-5	bailian	Z.AI	glm-5	1.0
bailian/kimi-k2.5	bailian	Moonshot	k2p5	1.0
bailian/qwen3-coder-next	bailian	Alibaba	qwen3-coder-next	1.0
bailian/qwen3-coder-plus	bailian	Alibaba	qwen3-coder-plus	1.0
bailian/qwen3-max-2026-01-23	bailian	Alibaba	qwen3-max-2026-01-23	1.0
bailian/qwen3.5-plus	bailian	Alibaba	qwen3.5-plus	1.0
github-copilot/claude-haiku-4.5	gh-copilot	Anthropic	haiku-4.5	0.33
github-copilot/claude-opus-4-5	gh-copilot	Anthropic	opus-4.5	3.0
github-copilot/claude-opus-4.5	gh-copilot	Anthropic	opus-4.5	3.0
github-copilot/claude-opus-4.6	gh-copilot	Anthropic	opus-4.6	3.0
github-copilot/claude-sonnet-4	gh-copilot	Anthropic	sonnet-4	1.0
github-copilot/claude-sonnet-4-5	gh-copilot	Anthropic	sonnet-4.5	1.0
github-copilot/claude-sonnet-4.5	gh-copilot	Anthropic	sonnet-4.5	1.0
github-copilot/claude-sonnet-4.6	gh-copilot	Anthropic	sonnet-4.6	1.0
github-copilot/gemini-2.5-pro	gh-copilot	Google	gemini-2.5-pro	1.0
github-copilot/gemini-3-flash-preview	gh-copilot	Google	gemini-3-flash-preview	1.0
github-copilot/gemini-3-pro-preview	gh-copilot	Google	gemini-3-pro-preview	1.0
github-copilot/gemini-3.1-pro	gh-copilot	Google	gemini-3.1-pro	1.0
github-copilot/gemini-3.1-pro-preview	gh-copilot	Google	gemini-3.1-pro-preview	1.0
github-copilot/gpt-4.1	gh-copilot	OpenAI	gpt-4.1	0.0
github-copilot/gpt-4o	gh-copilot	OpenAI	gpt-4o	0.0
github-copilot/gpt-5	gh-copilot	OpenAI	gpt-5	1.0
